year,ranking,album,writer
1969,250,Sly and the Family Stone 'Hot Fun in the Summertime',Sly Stone
1969,263,The Dells 'Oh What A Night',Marvin Junior  John Funches
1969,278,The Beatles 'Something',George Harrison
1969,325,Jimmy Cliff 'Many Rivers to Cross',Cliff
1969,328,Led Zeppelin 'Heartbreaker',Jimmy Page  Robert Plant  John Bonham  John Paul Jones
1969,364,Creedence Clearwater Revival 'Bad Moon Rising',John Fogerty
1969,393,The Allman Brothers Band 'Whipping Post',Gregg Allman
1969,426,Crosby Stills and Nash 'Suite: Judy Blue Eyes',Stephen Stills
1969,428,The Isley Brothers 'It's Your Thing',Rudolph Isley  Ronald lsley  O Kelly Isley
1969,440,Led Zeppelin 'Ramble On',Jimmy Page  Robert Plant
1969,445,The Stooges 'I Wanna Be Your Dog',Dave Alexander  Ron Asheton  Scott Asheton  Iggy Pop
1970,20,The Beatles 'Let It Be',John Lennon  Paul McCartney
1970,27,Derek and the Dominos 'Layla',Eric Clapton  Jim Gordon
1970,48,Simon and Garfunkel 'Bridge Over Troubled Water',Paul Simon
1970,137,Elton John 'Your Song',Bernie Taupin  John
1970,188,Creedence Clearwater Revival 'Who'll Stop the Rain',John Fogerty
1970,227,James Taylor 'Fire and Rain',Taylor
1970,231,Van Morrison 'Moondance',Morrison
1970,253,Black Sabbath 'Paranoid',Geezer Butler  Tony Iommi  Ozzy Osbourne  William Ward
1970,334,James Brown 'Get Up (I Feel Like Being a) Sex Machine',Brown  Bobby Byrd Ron Lenhoff
1970,341,Norman Greenbaum 'Spirit in the Sky',Greenbaum
1970,342,The Velvet Underground 'Sweet Jane',Lou Reed
1970,347,Paul McCartney 'Maybe I'm Amazed',McCartney
1970,395,Crosby Stills Nash and Young 'Ohio',Neil Young
1970,402,The Five Stairsteps 'O o h Child',Stan Vincent
1970,410,Sly and the Family Stone 'Thank You (Falettinme Be Mice Elf Agin)',Sly Stone
1970,414,Carpenters 'We've Only Just Begun',Paul Williams  Roger Nichols
1970,460,George Harrison 'My Sweet Lord',Harrison
1970,474,Van Morrison 'Into the Mystic',Morrison
1971,3,John Lennon 'Imagine',John Lennon
1971,4,Marvin Gaye 'What's Going On',Gaye  Renaldo Benson  Al Cleveland
1971,31,Led Zeppelin 'Stairway to Heaven',Jimmy Page  Robert Plant
1971,60,Al Green 'Let's Stay Together',Al Green  Al Jackson Jr.  Willie Mitchell
1971,128,David Bowie 'Changes',Bowie
1971,131,Rod Stewart 'Maggie May',Stewart  Martin Quittenton
1971,134,The Who 'Won't Get Fooled Again',Pete Townshend
1971,139,Sly and the Family Stone 'Family Affair',Sly Stone
1971,148,Janis Joplin 'Me and Bobby McGee',Kris Kristofferson  Fred Foster
1971,285,Bill Withers 'Ain't No Sunshine',Withers
1971,299,Al Green 'Tired of Being Alone',Green
1971,300,Led Zeppelin 'Black Dog',Jimmy Page  Robert Plant  John Paul Jones
1971,317,Black Sabbath 'Iron Man',Black Sabbath
1971,343,The Rolling Stones 'Wild Horses',Mick Jagger  Keith Richards
1971,349,The Who 'Baba O'Riley',Pete Townshend
1971,397,Elton John 'Tiny Dancer',John  Bernie Taupin
